"freqm";"freqf";"firstname";"totalfreq";"percm";"percf"
0;95;"aarvi";95;0;100
5;0;"aarvin";5;100;0
301;1319;"aarya";1620;18.5802469135802;81.4197530864198
0;47;"aaryah";47;0;100
0;12;"aaryahi";12;0;100
1235;6;"aaryan";1241;99.5165189363417;0.48348106365834
0;107;"aaryana";107;0;100
0;201;"aaryanna";201;0;100
6;0;"aaryash";6;100;0
110;0;"aaryav";110;100;0
634;1029;"aaryn";1663;38.123872519543;61.876127480457
0;5;"aarynn";5;0;100
15;0;"aaryon";15;100;0
0;10;"aaryona";10;0;100
0;5;"aarza";5;0;100
5;0;"aaseem";5;100;0
12;0;"aaser";12;100;0
0;277;"aasha";277;0;100
0;5;"aashana";5;0;100
31;0;"aashay";31;100;0
0;523;"aashi";523;0;100
0;6;"aashia";6;0;100
0;79;"aashika";79;0;100
0;5;"aashini";5;0;100
103;0;"aashir";103;100;0
0;20;"aashirya";20;0;100
132;0;"aashish";132;100;0
0;6;"aashita";6;0;100
0;12;"aashiyana";12;0;100
0;140;"aashka";140;0;100
5;0;"aashman";5;100;0
0;608;"aashna";608;0;100
0;52;"aashni";52;0;100
14;0;"aashray";14;100;0
0;46;"aashrita";46;0;100
112;0;"aashrith";112;100;0
0;128;"aashritha";128;0;100
0;273;"aashvi";273;0;100
0;219;"aasia";219;0;100
231;0;"aasim";231;100;0
52;0;"aasin";52;100;0
62;0;"aasir";62;100;0
0;153;"aasiya";153;0;100
0;417;"aasiyah";417;0;100
32;0;"aason";32;100;0
0;260;"aastha";260;0;100
5;0;"aathan";5;100;0
10;0;"aatif";10;100;0
16;0;"aatish";16;100;0
0;89;"aava";89;0;100
0;43;"aavah";43;0;100
10;0;"aavash";10;100;0
36;0;"aaven";36;100;0
17;0;"aavi";17;100;0
22;0;"aavin";22;100;0
26;0;"aavion";26;100;0
5;0;"aavish";5;100;0
0;118;"aavya";118;0;100
11;0;"aavyan";11;100;0
6;5;"aavyn";11;54.5454545454545;45.4545454545455
0;45;"aaya";45;0;100
44;0;"aayaan";44;100;0
0;31;"aayah";31;0;100
20;0;"aayam";20;100;0
1197;0;"aayan";1197;100;0
0;114;"aayana";114;0;100
0;10;"aayanah";10;0;100
0;38;"aayanna";38;0;100
110;0;"aayansh";110;100;0
0;77;"aayat";77;0;100
11;0;"aaydan";11;100;0
1322;5;"aayden";1327;99.6232102486812;0.376789751318764
0;367;"aayla";367;0;100
0;67;"aaylah";67;0;100
0;81;"aayliah";81;0;100
0;21;"aayra";21;0;100
6;0;"aayu";6;100;0
1099;0;"aayush";1099;100;0
0;11;"aayusha";11;0;100
0;215;"aayushi";215;0;100
5;0;"aazan";5;100;0
0;5;"aazeen";5;0;100
6;0;"aazil";6;100;0
21;0;"aazim";21;100;0
0;28;"aaziyah";28;0;100
341;0;"ab";341;100;0
5;22;"aba";27;18.5185185185185;81.4814814814815
36;0;"abaan";36;100;0
6;0;"abaas";6;100;0
82;0;"abad";82;100;0
0;210;"abagael";210;0;100
0;5549;"abagail";5549;0;100
0;15;"abagaile";15;0;100
0;366;"abagale";366;0;100
0;341;"abagayle";341;0;100
0;19;"abaigael";19;0;100
0;10;"abaigail";10;0;100
0;321;"abaigeal";321;0;100
24;0;"aban";24;100;0
138;0;"abanoub";138;100;0
71;0;"abas";71;100;0
40;0;"abasi";40;100;0
80;0;"abass";80;100;0
215;0;"abayomi";215;100;0
80;0;"abb";80;100;0
39;6;"abba";45;86.6666666666667;13.3333333333333
5;0;"abbaas";5;100;0
0;833;"abbagail";833;0;100
0;134;"abbagale";134;0;100
0;112;"abbagayle";112;0;100
1189;0;"abbas";1189;100;0
0;1325;"abbe";1325;0;100
0;163;"abbee";163;0;100
0;246;"abbegail";246;0;100
0;82;"abbegale";82;0;100
0;73;"abbegayle";73;0;100
35;17044;"abbey";17079;0.204930031032262;99.7950699689677
0;66;"abbeygail";66;0;100
0;22;"abbeygale";22;0;100
0;1984;"abbi";1984;0;100
310;19204;"abbie";19514;1.58860305421748;98.4113969457825
0;237;"abbiegail";237;0;100
0;58;"abbiegale";58;0;100
0;18;"abbiegayle";18;0;100
0;162;"abbigael";162;0;100
5;11286;"abbigail";11291;0.0442830573022761;99.9557169426977
0;91;"abbigaile";91;0;100
0;157;"abbigal";157;0;100
0;2102;"abbigale";2102;0;100
0;29;"abbigayl";29;0;100
0;1287;"abbigayle";1287;0;100
0;12;"abbilyn";12;0;100
23;0;"abbot";23;100;0
925;24;"abbott";949;97.4710221285564;2.52897787144363
0;36;"abbra";36;0;100
0;25;"abbriella";25;0;100
0;83;"abbrielle";83;0;100
181;56748;"abby";56929;0.317939890038469;99.6820601099615
0;184;"abbye";184;0;100
0;70;"abbygael";70;0;100
0;3299;"abbygail";3299;0;100
0;47;"abbygaile";47;0;100
0;762;"abbygale";762;0;100
0;6;"abbygayl";6;0;100
0;438;"abbygayle";438;0;100
0;18;"abbylynn";18;0;100
0;367;"abcde";367;0;100
17;0;"abd";17;100;0
6;0;"abdala";6;100;0
6;0;"abdalah";6;100;0
282;0;"abdalla";282;100;0
1189;0;"abdallah";1189;100;0
160;0;"abdalrahman";160;100;0
5;0;"abdalrhman";5;100;0
542;0;"abdel";542;100;0
100;0;"abdelaziz";100;100;0
5;0;"abdelhadi";5;100;0
5;0;"abdelhamid";5;100;0
10;0;"abdelkareem";10;100;0
32;0;"abdelkarim";32;100;0
24;0;"abdellah";24;100;0
554;0;"abdelrahman";554;100;0
6;0;"abdelrhman";6;100;0
5;0;"abderrahman";5;100;0
256;10;"abdi";266;96.2406015037594;3.7593984962406
0;5;"abdia";5;0;100
567;0;"abdias";567;100;0
6;0;"abdiasis";6;100;0
138;0;"abdiaziz";138;100;0
3776;0;"abdiel";3776;100;0
204;0;"abdifatah";204;100;0
16;0;"abdihafid";16;100;0
36;0;"abdihakim";36;100;0
5;0;"abdihamid";5;100;0
132;0;"abdikadir";132;100;0
21;0;"abdikarim";21;100;0
5;0;"abdikhaliq";5;100;0
10;0;"abdilahi";10;100;0
183;0;"abdimalik";183;100;0
5;0;"abdinajib";5;100;0
156;0;"abdinasir";156;100;0
27;0;"abdiqani";27;100;0
69;0;"abdirahim";69;100;0
6;0;"abdirahin";6;100;0
1526;0;"abdirahman";1526;100;0
32;0;"abdirashid";32;100;0
12;0;"abdirisaq";12;100;0
81;0;"abdirizak";81;100;0
5;0;"abdisalam";5;100;0
6;0;"abdisalan";6;100;0
23;0;"abdisamad";23;100;0
53;0;"abdishakur";53;100;0
19;0;"abdiwahab";19;100;0
5;0;"abdiwali";5;100;0
52;0;"abdo";52;100;0
359;0;"abdon";359;100;0
213;0;"abdou";213;100;0
418;0;"abdoul";418;100;0
622;0;"abdoulaye";622;100;0
10;0;"abdoulaziz";10;100;0
110;0;"abdoulie";110;100;0
5;0;"abdourahman";5;100;0
18;0;"abdourahmane";18;100;0
15;0;"abdrahman";15;100;0
6;0;"abdrew";6;100;0
32;0;"abdu";32;100;0
17;0;"abdual";17;100;0
32;0;"abduallah";32;100;0
5;0;"abduel";5;100;0
5594;0;"abdul";5594;100;0
39;0;"abdula";39;100;0
75;0;"abdulah";75;100;0
69;0;"abdulahad";69;100;0
395;0;"abdulahi";395;100;0
83;0;"abdulai";83;100;0
5;0;"abdulaye";5;100;0
5;0;"abdulazeem";5;100;0
25;0;"abdulazeez";25;100;0
1173;0;"abdulaziz";1173;100;0
5;0;"abdulbari";5;100;0
13;0;"abdulbasit";13;100;0
6;0;"abdule";6;100;0
28;0;"abdulelah";28;100;0
5;0;"abdulhaadi";5;100;0
108;0;"abdulhadi";108;100;0
38;0;"abdulhakeem";38;100;0
16;0;"abdulhakim";16;100;0
5;0;"abdulhalim";5;100;0
11;0;"abdulhameed";11;100;0
60;0;"abdulhamid";60;100;0
16;0;"abduljabbar";16;100;0
5;0;"abduljaleel";5;100;0
5;0;"abduljalil";5;100;0
115;0;"abdulkadir";115;100;0
172;0;"abdulkareem";172;100;0
134;0;"abdulkarim";134;100;0
13;0;"abdulkhaliq";13;100;0
5;0;"abdull";5;100;0
424;0;"abdulla";424;100;0
6536;0;"abdullah";6536;100;0
1258;0;"abdullahi";1258;100;0
34;0;"abdullatif";34;100;0
32;0;"abdulloh";32;100;0
27;0;"abdulmajeed";27;100;0
21;0;"abdulmajid";21;100;0
5;0;"abdulmalek";5;100;0
407;0;"abdulmalik";407;100;0
16;0;"abdulmohsen";16;100;0
5;0;"abdulnasir";5;100;0
38;0;"abdulqadir";38;100;0
98;0;"abdulraheem";98;100;0
87;0;"abdulrahim";87;100;0
1980;0;"abdulrahman";1980;100;0
5;0;"abdulrazaq";5;100;0
55;0;"abdulrehman";55;100;0
28;0;"abdulrhman";28;100;0
35;0;"abdulsalam";35;100;0
20;0;"abdulsamad";20;100;0
5;0;"abdulwadud";5;100;0
134;0;"abdulwahab";134;100;0
18;0;"abdulwahid";18;100;0
6;0;"abdulwali";6;100;0
249;0;"abdur";249;100;0
312;0;"abdurahman";312;100;0
5;0;"abdurahmon";5;100;0
22;0;"abdurraheem";22;100;0
27;0;"abdurrahim";27;100;0
5;0;"abdurrahmaan";5;100;0
736;0;"abdurrahman";736;100;0
30;0;"abdurrehman";30;100;0
6;0;"abdussamad";6;100;0
8132;0;"abe";8132;100;0
5;0;"abeal";5;100;0
193;0;"abed";193;100;0
16;0;"abedallah";16;100;0
11;0;"abedalrahman";11;100;0
59;0;"abednego";59;100;0
0;94;"abeeha";94;0;100
37;518;"abeer";555;6.66666666666667;93.3333333333333
0;45;"abeera";45;0;100
0;485;"abegail";485;0;100
0;5;"abegale";5;0;100
0;23;"abegayle";23;0;100
47187;113;"abel";47300;99.7610993657505;0.238900634249471
0;17;"abela";17;0;100
4320;0;"abelardo";4320;100;0
0;507;"abelina";507;0;100
831;0;"abelino";831;100;0
18;5;"abell";23;78.2608695652174;21.7391304347826
0;642;"abella";642;0;100
54;0;"abem";54;100;0
22;0;"aben";22;100;0
0;564;"abena";564;0;100
142;0;"abenezer";142;100;0
0;360;"abeni";360;0;100
0;5;"aber";5;0;100
0;131;"aberdeen";131;0;100
25;0;"aberham";25;100;0
0;33;"abernathy";33;0;100
15;0;"abert";15;100;0
0;7;"abery";7;0;100
10;17;"abey";27;37.037037037037;62.962962962963
0;29;"abgail";29;0;100
0;50;"abha";50;0;100
629;0;"abhay";629;100;0
7;0;"abheek";7;100;0
232;0;"abhi";232;100;0
0;41;"abhigna";41;0;100
95;0;"abhijay";95;100;0
45;0;"abhijeet";45;100;0
42;0;"abhijit";42;100;0
44;0;"abhijot";44;100;0
21;0;"abhik";21;100;0
22;0;"abhilash";22;100;0
175;0;"abhimanyu";175;100;0
1687;0;"abhinav";1687;100;0
5;0;"abhinay";5;100;0
0;5;"abhinaya";5;0;100
6;0;"abhiraam";6;100;0
67;0;"abhiraj";67;100;0
804;0;"abhiram";804;100;0
0;5;"abhirami";5;0;100
10;0;"abhirup";10;100;0
753;0;"abhishek";753;100;0
10;0;"abhyuday";10;100;0
22;488;"abi";510;4.31372549019608;95.6862745098039
0;92;"abia";92;0;100
0;138;"abiageal";138;0;100
0;36;"abiah";36;0;100
12;0;"abian";12;100;0
0;5;"abianna";5;0;100
0;6;"abibail";6;0;100
321;0;"abid";321;100;0
0;37;"abida";37;0;100
0;5;"abidah";5;0;100
16;0;"abidan";16;100;0
635;67;"abie";702;90.4558404558405;9.54415954415954
0;15;"abiegail";15;0;100
1057;23;"abiel";1080;97.8703703703704;2.12962962962963
0;20;"abiela";20;0;100
0;16;"abiella";16;0;100
12;0;"abiezer";12;100;0
5;1617;"abigael";1622;0.30826140567201;99.691738594328
0;120;"abigaelle";120;0;100
0;42;"abigahil";42;0;100
0;12;"abigai";12;0;100
621;345467;"abigail";346088;0.1794341323594;99.8205658676406
0;578;"abigaile";578;0;100
0;18;"abigailgrace";18;0;100
0;27;"abigaille";27;0;100
0;11;"abigailmarie";11;0;100
0;6;"abigailrose";6;0;100
0;751;"abigal";751;0;100
0;5427;"abigale";5427;0;100
0;21;"abigayil";21;0;100
0;335;"abigayl";335;0;100
5;5810;"abigayle";5815;0.0859845227858985;99.9140154772141
0;22;"abigeal";22;0;100
0;31;"abigel";31;0;100
0;161;"abigial";161;0;100
0;103;"abiha";103;0;100
0;29;"abihail";29;0;100
253;51;"abijah";304;83.2236842105263;16.7763157894737
0;976;"abilene";976;0;100
0;28;"abilgail";28;0;100
5;0;"abilio";5;100;0
0;5;"abilyn";5;0;100
0;6;"abilynn";6;0;100
1074;0;"abimael";1074;100;0
5;80;"abimbola";85;5.88235294117647;94.1176470588235
51;0;"abimelec";51;100;0
10;0;"abin";10;100;0
5;0;"abinadab";5;100;0
22;0;"abinadi";22;100;0
35;0;"abinav";35;100;0
0;53;"abinaya";53;0;100
18;0;"abiodun";18;100;0
44;151;"abiola";195;22.5641025641026;77.4358974358974
0;19;"abiona";19;0;100
286;97;"abir";383;74.6736292428198;25.3263707571802
0;21;"abira";21;0;100
12;0;"abiram";12;100;0
0;36;"abirami";36;0;100
0;16;"abisag";16;0;100
824;51;"abisai";875;94.1714285714286;5.82857142857143
5;0;"abisaid";5;100;0
0;24;"abish";24;0;100
0;53;"abisha";53;0;100
167;26;"abishai";193;86.5284974093264;13.4715025906736
50;0;"abishek";50;100;0
0;94;"abisola";94;0;100
6;0;"abiud";6;100;0
5;12;"abiyah";17;29.4117647058824;70.5882352941177
0;11;"abla";11;0;100
873;0;"able";873;100;0
6;0;"abnel";6;100;0
6969;0;"abner";6969;100;0
5;10;"abney";15;33.3333333333333;66.6666666666667
0;43;"abony";43;0;100
69;0;"abou";69;100;0
306;0;"aboubacar";306;100;0
36;0;"aboubakar";36;100;0
0;899;"abra";899;0;100
47;0;"abraam";47;100;0
12;0;"abraar";12;100;0
0;35;"abrah";35;0;100
84679;203;"abraham";84882;99.7608444664358;0.239155533564242
943;0;"abrahan";943;100;0
22;0;"abraheem";22;100;0
41;0;"abrahem";41;100;0
557;0;"abrahim";557;100;0
665;0;"abrahm";665;100;0
15236;0;"abram";15236;100;0
1972;0;"abran";1972;100;0
0;5;"abranda";5;0;100
328;363;"abrar";691;47.4674384949349;52.5325615050651
6;5;"abraxas";11;54.5454545454545;45.4545454545455
0;5;"abraya";5;0;100
0;179;"abrea";179;0;100
0;44;"abreana";44;0;100
0;256;"abreanna";256;0;100
0;531;"abree";531;0;100
0;6;"abreia";6;0;100
5;0;"abrem";5;100;0
11;0;"abren";11;100;0
0;6;"abreona";6;0;100
0;15;"abreonna";15;0;100
0;134;"abrey";134;0;100
0;5;"abreya";5;0;100
126;0;"abrham";126;100;0
0;185;"abri";185;0;100
0;820;"abria";820;0;100
0;30;"abriah";30;0;100
0;121;"abrial";121;0;100
5;0;"abriam";5;100;0
299;5;"abrian";304;98.3552631578947;1.64473684210526
0;2344;"abriana";2344;0;100
0;3901;"abrianna";3901;0;100
0;15;"abriannah";15;0;100
0;15;"abrianne";15;0;100
0;254;"abrie";254;0;100
358;602;"abriel";960;37.2916666666667;62.7083333333333
0;51;"abriela";51;0;100
0;5;"abriele";5;0;100
0;1209;"abriella";1209;0;100
0;3432;"abrielle";3432;0;100
27;0;"abrien";27;100;0
0;21;"abrienne";21;0;100
0;26;"abrigail";26;0;100
0;5;"abrihet";5;0;100
5;7259;"abril";7264;0.0688325991189427;99.9311674008811
0;10;"abrille";10;0;100
0;161;"abrina";161;0;100
11;0;"abrion";11;100;0
0;20;"abriona";20;0;100
0;54;"abrionna";54;0;100
0;43;"abrish";43;0;100
0;29;"abriya";29;0;100
0;11;"abriyah";11;0;100
0;6;"abriyana";6;0;100
6;0;"abrom";6;100;0
254;0;"abron";254;100;0
45;0;"abrum";45;100;0
0;13;"abry";13;0;100
0;177;"abryana";177;0;100
0;252;"abryanna";252;0;100
0;17;"abryella";17;0;100
0;32;"abryelle";32;0;100
0;14;"abryl";14;0;100
0;21;"absalat";21;0;100
149;0;"absalom";149;100;0
33;0;"absalon";33;100;0
61;0;"abshir";61;100;0
0;17;"absidy";17;0;100
6;0;"abtin";6;100;0
372;0;"abu";372;100;0
14;0;"abubacar";14;100;0
20;0;"abubacarr";20;100;0
534;0;"abubakar";534;100;0
28;0;"abubakarr";28;100;0
10;0;"abubakary";10;100;0
24;0;"abubaker";24;100;0
320;0;"abubakr";320;100;0
0;41;"abuk";41;0;100
28;0;"abukar";28;100;0
203;0;"abundio";203;100;0
56;202;"aby";258;21.7054263565891;78.2945736434108
0;10;"abyade";10;0;100
106;28;"abyan";134;79.1044776119403;20.8955223880597
0;43;"abygael";43;0;100
0;2491;"abygail";2491;0;100
0;13;"abygaile";13;0;100
0;332;"abygale";332;0;100
0;142;"abygayle";142;0;100
0;18;"abyssinia";18;0;100
119;0;"ac";119;100;0
0;3638;"acacia";3638;0;100
6;0;"acacius";6;100;0
0;755;"acadia";755;0;100
6;0;"acamas";6;100;0
19;0;"acari";19;100;0
0;120;"acasia";120;0;100
0;26;"accacia";26;0;100
0;76;"accalia";76;0;100
6;0;"access";6;100;0
5;0;"accie";5;100;0
5;0;"accursio";5;100;0
8215;23;"ace";8238;99.7208060208789;0.279193979121146
72;5;"acea";77;93.5064935064935;6.49350649350649
5;0;"acein";5;100;0
5;0;"aceion";5;100;0
68;0;"acel";68;100;0
0;5;"acelee";5;0;100
106;19;"acelin";125;84.8;15.2
7;0;"acelino";7;100;0
11;368;"acelyn";379;2.9023746701847;97.0976253298153
0;618;"acelynn";618;0;100
297;0;"acen";297;100;0
27;0;"acencion";27;100;0
27;0;"aceon";27;100;0
30;0;"acer";30;100;0
169;0;"aceson";169;100;0
6;0;"aceston";6;100;0
23;0;"acesyn";23;100;0
57;0;"aceton";57;100;0
404;22;"acey";426;94.8356807511737;5.16431924882629
66;0;"aceyn";66;100;0
6;0;"achai";6;100;0
0;62;"achaia";62;0;100
5;0;"achaius";5;100;0
0;5;"achan";5;0;100
0;35;"achante";35;0;100
