first_name,last_name,count,prob_male_census,guess_census,guess_gender_guesser,human_check_necessary,final_gender,Names remaining: 2
Germaine A.,Hoston,1,23% male,andy,female,FALSE,female,https://www.google.com/search?q=Germaine A.+Hoston+history
Jessie,Ramey,1,42% male,andy,female,FALSE,female,https://www.google.com/search?q=Jessie+Ramey+history
Leslie Ann,Schuster,1,29% male,andy,female,FALSE,female,https://www.google.com/search?q=Leslie Ann+Schuster+history
Lin,Poyer,1,46% male,andy,female,FALSE,female,https://www.google.com/search?q=Lin+Poyer+history
Marion,Farouk-Sluglett,1,28% male,andy,female,FALSE,female,https://www.google.com/search?q=Marion+Farouk-Sluglett+history
Marion C.,Siney,2,28% male,andy,female,FALSE,female,https://www.google.com/search?q=Marion C.+Siney+history
Yael,Katzir,1,47% male,andy,female,FALSE,female,https://www.google.com/search?q=Yael+Katzir+history
Jan,Goldstein,3,29% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Jan+Goldstein+history
Jan,Lewis,3,29% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Jan+Lewis+history
Lynn,Ceci,1,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn+Ceci+history
Lynn,Dumenil,1,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn+Dumenil+history
Lynn,Hunt,5,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn+Hunt+history
Lynn,MacKay,2,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn+MacKay+history
Lynn,Mally,1,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn+Mally+history
Lynn,Rainville,1,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn+Rainville+history
Lynn,Weiner,1,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn+Weiner+history
Lynn A.,Hunt,1,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn A.+Hunt+history
Lynn Hollen,Lees,1,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn Hollen+Lees+history
Lynn L.,Marshall,3,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn L.+Marshall+history
Lynn M.,Morgan,1,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn M.+Morgan+history
Lynn M.,Thomas,1,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn M.+Thomas+history
