,name_raw,name,actual,score_actual,guess_orig,score_orig,guess_naive,score_naive,guess_complex,score_complex,dif_orig_naive,dif_orig_complex,dif_naive_complex,,dif_act_orig,dif_act_complex
14243,"bronstein,_jamie_lara:0","Bronstein, Jamie Lara",,,male,1,mostly_female,4,female,5,3,4,1,,,
14270,"james,_leslie_robert:0","James, Leslie Robert",,,female,5,mostly_female,4,male,1,1,4,3,,,
14356,"boler,_jaime_elizabeth:0","Boler, Jaime Elizabeth",,,male,1,andy,3,female,5,2,4,2,,,
14475,"ekhtiar,_maryam_dorreh:0","Ekhtiar, Maryam Dorreh",,,male,1,andy,3,female,5,2,4,2,,,
14573,"lee,_shelley_sang-hee:0","Lee, Shelley Sang Hee",,,male,1,female,5,female,5,4,4,0,,,
14839,"samons,_loren_jerome,_ii:0","Samons, Loren Jerome, Ii",,,female,5,mostly_male,2,male,1,3,4,1,,,
15276,"philyaw,_leslie_scott:0","Philyaw, Leslie Scott",,,female,5,mostly_female,4,male,1,1,4,3,,,
15540,"reynolds,_gabriel_said:0","Reynolds, Gabriel Said",,,female,5,mostly_male,2,male,1,3,4,1,,,
15777,"criss,_nur_bilge:0","Criss, Nur Bilge",,,male,1,andy,3,female,5,2,4,2,,,
15873,"larson,_pier_martin:0","Larson, Pier Martin",,,female,5,andy,3,male,1,2,4,2,,,
15875,"cullen,_leslie_julian:0","Cullen, Leslie Julian",,,female,5,mostly_female,4,male,1,1,4,3,,,
15885,"hassan,_ali_bakr:0","Hassan, Ali Bakr",,,female,5,mostly_male,2,male,1,3,4,1,,,
15889,"mccarter,_robin_walter:0","Mccarter, Robin Walter",,,female,5,mostly_female,4,male,1,1,4,3,,,
15975,"seiler,_philippe_laurent:0","Seiler, Philippe Laurent",,,female,5,andy,3,male,1,2,4,2,,,
15983,"thomas,_lorrin_reed:0","Thomas, Lorrin Reed",,,female,5,unknown,3,male,1,2,4,2,,,
16317,"hilbish,_dabney_melissa:0","Hilbish, Dabney Melissa",,,male,1,unknown,3,female,5,2,4,2,,,
16412,"coutaz,_philippe_charles:0","Coutaz, Philippe Charles",,,female,5,andy,3,male,1,2,4,2,,,
16649,"kelley,_robin_davis_gibran:0","Kelley, Robin Davis Gibran",,,female,5,mostly_female,4,male,1,1,4,3,,,
16944,"kaplan,_eran:0","Kaplan, Eran",,,female,5,andy,3,male,1,2,4,2,,,
17088,"okroi,_loren_james:0","Okroi, Loren James",,,female,5,mostly_male,2,male,1,3,4,1,,,
17116,"carney,_courtney_patterson:0","Carney, Courtney Patterson",,,male,1,mostly_female,4,female,5,3,4,1,,,
17192,"paletz,_gabriel_michael:0","Paletz, Gabriel Michael",,,female,5,mostly_male,2,male,1,3,4,1,,,
17252,"yilmaz,_hale:0","Yilmaz, Hale",,,male,1,andy,3,female,5,2,4,2,,,
17319,"maclaird,_misha:0","Maclaird, Misha",,,female,5,andy,3,male,1,2,4,2,,,
18416,"martinez,_jaime_amanda:0","Martinez, Jaime Amanda",,,male,1,andy,3,female,5,2,4,2,,,
