,men_gender,women_gender,all_gender,men_white,women_white,all_white,men_african,women_african,all_african,men_race,women_race,all_race,men_black,women_black,all_black,men_war,women_war,all_war,men_racial,women_racial,all_racial,men_nation,women_nation,all_nation,men_colonial,women_colonial,all_colonial,year
45,0.0010808920325514934,0.001311698932368425,0.0012879894824158783,0.0013403284854710336,0.0010878194599285931,0.0011769021657275446,0.0007997003576637032,0.0006219078352094002,0.0007095244663928908,0.0006187163080294461,0.0004127173736737628,0.00047774245071068364,0.0011801533804053285,0.0011243428582866579,0.0010813517830445146,0.0009190351656085214,0.0011927066066810452,0.0010489467616892454,0.00046369582574101156,0.0003247757635043364,0.000359764430051174,0.0004843233970496844,0.0003376919292170993,0.00036692896391914457,0.00043213182275852644,0.00045514696181364107,0.0005203577428246715,1998
46,0.001177590783311115,0.0012083646982982948,0.0012642202052189759,0.0014693011871712927,0.0013554566823697402,0.0013475034851217794,0.0008546878432261135,0.0006948063356980227,0.0007617213509007566,0.0006710718929612048,0.0004957081299575483,0.0005398406276012787,0.0013021649454651465,0.0010964077857015817,0.0010996292748352895,0.0013297036309437309,0.001293149264715045,0.0012652785497429186,0.0005489854253502417,0.0004226377679824178,0.000440345554400877,0.0006063942054601478,0.00046477550531816715,0.0004858069442096536,0.0005966896375088076,0.0006452798997800599,0.000683696286185729,1999
47,0.0011614204747961668,0.0012071924363227092,0.0012709008036820805,0.0012134107526515369,0.0013277705621149443,0.0012693126046913119,0.0006678445379089668,0.0007835972038914656,0.0007348866836455237,0.00047369634420503444,0.00047428246315637515,0.00046072135103235394,0.0010688285669271113,0.0010459803038177199,0.0010107531447442037,0.0013450774273557412,0.001068747757731057,0.0011807650985823422,0.0004395688695870995,0.00038342406884859495,0.00037767972589667666,0.0006392277250324258,0.00047998221474905036,0.0005104414138778418,0.0005396125851218403,0.0005654623205695163,0.0005361054243405862,2000
48,0.001202838707411681,0.0011888460427093358,0.0012929472102403395,0.0013678433365732847,0.0011187317255152366,0.001215205380949572,0.000952946100692929,0.0006217212942073033,0.0007550467735480088,0.0005036462073625193,0.0003821806712703269,0.00043759234815356803,0.0011242115765618265,0.000608227704365283,0.0007834901105519178,0.0011970048766265175,0.001130294603245059,0.0011668129879574519,0.00035310803803426246,0.00030095738709325667,0.00030191634780408826,0.0005764777538143671,0.00039296988637974706,0.00044063384447587536,0.0003415248147814127,0.0004667345922239437,0.00040874165385343327,2001
49,0.001148390649376909,0.0011837830035410155,0.0012732785313447925,0.0013577013767533627,0.0012212879848979153,0.0012629394859686182,0.0008525899944919621,0.0006416410720949731,0.0007093162408752291,0.0005364051718760168,0.00040507950659476936,0.00046891615426806826,0.0009283536328516557,0.000774199476307509,0.0008513309983588107,0.0012720628098611064,0.0009131243876444525,0.001074873234550175,0.0003142147951096287,0.00032907227317610936,0.00031255033219503394,0.000496910891293894,0.0005012291278859953,0.0004950157637527711,0.0003977885751138951,0.0005081535214483451,0.00044173494908077745,2002
50,0.001168204602049513,0.0011310485411141324,0.0011331980122612439,0.00110373734422528,0.0012073909656122824,0.0012657487126845643,0.0006574365478697333,0.0005441021119395739,0.0006554778824220805,0.0005470275525460125,0.0004539506316264822,0.0005090876752426343,0.0007828066460920928,0.000739836982810368,0.0009363292697678425,0.0012723632896237914,0.001004572968962728,0.0011286793893678301,0.00027499660728056184,0.0003414651247269001,0.00031829013136322807,0.00045586782709623795,0.0005031068618150451,0.0004834655452453502,0.00041194006128324786,0.0006034846792913578,0.0005018444614903169,2003
51,0.000911143451330155,0.0010937487604920485,0.0010147411251116667,0.0011578532580213444,0.0009327362298380208,0.001126924367822308,0.000700175952161536,0.0004608003304175837,0.0006231937618135201,0.0005224621290516862,0.00042616141435592554,0.0004890291213874515,0.0013907814721897623,0.000707231447501807,0.0011042150021269275,0.000981942892917176,0.0008450764350900793,0.0009214214064079912,0.00018691802900473842,0.0002445372476249821,0.00023361392117752432,0.00034660518695338517,0.0004157198145994462,0.0003958889800038957,0.00024594789215460924,0.0004083861765605152,0.0003381127736961153,2004
52,0.0010217366680869036,0.0011704477421248393,0.0011165865372073697,0.0010967341330056363,0.000921795786382803,0.0010728177676583316,0.0006176494735995611,0.0004972849273057378,0.0006376047868767823,0.0005885663903632354,0.0005303627996952181,0.0005774275649425931,0.0013543257513115492,0.0008046746226805276,0.0011241222837827518,0.0014608361034097453,0.0009884877284619044,0.0011195379399764433,0.00024944988306809164,0.00030825245971538193,0.00029774599511968753,0.0006195130439548258,0.0004256333266972034,0.00047415804497999783,0.00024294003239283204,0.0005511880938503295,0.00044751705430733297,2005
53,0.001119705540053988,0.0020334570702757624,0.0016843617659620717,0.001205153948519232,0.0008842124482552514,0.001056361498374943,0.00047716192396742225,0.000514977111059071,0.0005800086962608603,0.0005280119439436458,0.0005363829082940931,0.0005571252899105387,0.0015789871782785868,0.0007591057696856214,0.0011475953489020782,0.0015665687877513643,0.0008344056127451217,0.0010672536162233744,0.0002859451914884038,0.00032745823569178416,0.00032218984064066387,0.0006356563400735386,0.00048123053532750154,0.000517633532841385,0.00023995659443338844,0.0005979189124577881,0.0004806757721181326,2006
54,0.0011982424037562972,0.002114620475963312,0.0018136991117779337,0.0009967139883065937,0.0006644758845084908,0.0008494922452301384,0.0006801909444432591,0.0004257006037018883,0.0005886895130433321,0.0004889346943908883,0.0005479886665589231,0.0005545763334595192,0.0014292706350100925,0.0006169740926118656,0.0010109931838273398,0.0017320619866612898,0.0008304789601146662,0.0010897468557960364,0.000300742884964689,0.00028072695548623616,0.00030272259445695844,0.0006941291190784443,0.0003684976411486607,0.0004589746128140066,0.0004974778365727491,0.0005718569836652242,0.0005522874580583422,2007
55,0.0011446087174646871,0.002206036063827395,0.001872366149798087,0.0010080372200446195,0.00046523721900963954,0.0006076153589883391,0.0009233450448360911,0.00035566167740238013,0.0005069638979684297,0.0004113639540588127,0.0004727859943702144,0.000465632461255931,0.0013710201361030125,0.000353399351660965,0.0006672957643035658,0.001824021936961142,0.0008937657757137471,0.001144090227524978,0.00028624829959431584,0.00021656815080896936,0.00024658796257952476,0.0007112473525128535,0.00041540697957628754,0.0004969768640054007,0.00047156126948781396,0.0005179896468438857,0.0005233835798698114,2008
56,0.0011993545531582444,0.0022327201722094616,0.0019082343372140958,0.0007847999853279689,0.0004315943282441694,0.0005146995267277585,0.000835487194201282,0.0004704665094301985,0.0005479011652638777,0.0003450429325755993,0.0004573497491458916,0.00043110011421629264,0.0005593157841230518,0.000328693337652661,0.0003939840577885605,0.0017346942974984635,0.0007677962222902634,0.0010372131614513791,0.0002564142880434764,0.0002016162183233057,0.0002254364384789685,0.0006832555517548025,0.00039779365344858465,0.00047429846520953615,0.0005268495223254355,0.0008251775918449074,0.0007268709220389911,2009
